SnP_ESG_Company,SnP_ESG_Score,SnP_ESG_Country,SnP_ESG_Industry,SnP_ESG_Ticker,ESG_environment,ESG_social,ESG_governance
Cummins Inc. ESG Score,51,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: CMI,54,47,49
Vistra Corp. ESG Score,54,Location: United States of America,Industry: ELC Electric Utilities,Ticker: VST,57,43,59
"Old Dominion Freight Line, Inc. ESG Score",30,Location: United States of America,Industry: TRA Transportation and Transportation Infrastructure,Ticker: ODFL,25,28,40
"Dominion Energy, Inc. ESG Score",38,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: D,36,39,40
Fastenal Company ESG Score,32,Location: United States of America,Industry: TCD Trading Companies & Distributors,Ticker: FAST,35,28,34
Newmont Corporation ESG Score,78,Location: United States of America,Industry: MNX Metals & Mining,Ticker: NEM,69,82,84
MSCI Inc. ESG Score,51,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: MSCI,88,35,49
"Fidelity National Information Services, Inc. ESG Score",49,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: FIS,50,42,53
Occidental Petroleum Corporation ESG Score,42,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: OXY,47,31,43
"American International Group, Inc. ESG Score",41,Location: United States of America,Industry: INS Insurance,Ticker: AIG,38,32,49
"Ross Stores, Inc. ESG Score",29,Location: United States of America,Industry: RTS Retailing,Ticker: ROST,33,21,35
Howmet Aerospace Inc. ESG Score,51,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: HWM,53,50,51
TE Connectivity plc ESG Score,55,Location: Ireland,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: TEL,54,54,59
"Nasdaq, Inc. ESG Score",66,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: NDAQ,91,56,64
"Axon Enterprise, Inc. ESG Score",22,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: AXON,11,19,32
Kenvue Inc. ESG Score,25,Location: United States of America,Industry: COS Personal Products,Ticker: KVUE,17,24,31
Keurig Dr Pepper Inc. ESG Score,51,Location: United States of America,Industry: BVG Beverages,Ticker: KDP,63,41,49
"AMETEK, Inc. ESG Score",44,Location: United States of America,Industry: ELQ Electrical Components & Equipment,Ticker: AME,39,47,46
Lennar Corporation ESG Score,25,Location: United States of America,Industry: HOM Homebuilding,Ticker: LEN,22,20,32
"Prudential Financial, Inc. ESG Score",40,Location: United States of America,Industry: INS Insurance,Ticker: PRU,40,36,43
Discover Financial Services ESG Score,36,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: DFS,24,33,41
Crown Castle Inc. ESG Score,39,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: CCI,38,35,46
Ford Motor Company ESG Score,38,Location: United States of America,Industry: AUT Automobiles,Ticker: F,49,30,34
Kimberly-Clark Corporation ESG Score,40,Location: United States of America,Industry: HOU Household Products,Ticker: KMB,49,35,36
Hess Corporation ESG Score,60,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: HES,56,58,65
Valero Energy Corporation ESG Score,46,Location: United States of America,Industry: OGR Oil & Gas Refining & Marketing,Ticker: VLO,51,40,45
"Constellation Brands, Inc. ESG Score",37,Location: United States of America,Industry: BVG Beverages,Ticker: STZ,41,37,33
Baker Hughes Company ESG Score,59,Location: United States of America,Industry: OIE Energy Equipment & Services,Ticker: BKR,74,46,57
Public Service Enterprise Group Incorporated ESG Score,54,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: PEG,56,48,55
The Kroger Co. ESG Score,45,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: KR,58,33,43
Electronic Arts Inc. ESG Score,33,Location: United States of America,"Industry: IMS Interactive Media, Services & Home Entertainment",Ticker: EA,30,25,44
"Gartner, Inc. ESG Score",46,Location: United States of America,Industry: TSV IT services,Ticker: IT,48,39,52
Targa Resources Corp. ESG Score,40,Location: United States of America,Industry: PIP Oil & Gas Storage & Transportation,Ticker: TRGP,37,39,42
Corning Incorporated ESG Score,48,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: GLW,44,52,47
"Delta Air Lines, Inc. ESG Score",35,Location: United States of America,Industry: AIR Airlines,Ticker: DAL,40,36,28
Garmin Ltd. ESG Score,27,Location: Swiss Confederation,Industry: LEG Leisure Equipment & Products and Consumer Electronics,Ticker: GRMN,22,30,29
"Verisk Analytics, Inc. ESG Score",53,Location: United States of America,Industry: PRO Professional Services,Ticker: VRSK,59,46,58
Cognizant Technology Solutions Corporation ESG Score,48,Location: United States of America,Industry: TSV IT services,Ticker: CTSH,63,31,54
Otis Worldwide Corporation ESG Score,44,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: OTIS,44,41,47
Lululemon Athletica Inc. ESG Score,34,Location: Canada,"Industry: TEX Textiles, Apparel & Luxury Goods",Ticker: LULU,40,23,41
Xcel Energy Inc. ESG Score,43,Location: United States of America,Industry: ELC Electric Utilities,Ticker: XEL,40,38,52
"Corteva, Inc. ESG Score",41,Location: United States of America,Industry: CHM Chemicals,Ticker: CTVA,32,45,49
Edwards Lifesciences Corporation ESG Score,65,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: EW,60,69,61
GE HealthCare Technologies Inc. ESG Score,39,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: GEHC,34,35,44
IQVIA Holdings Inc. ESG Score,42,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: IQV,37,41,45
The Kraft Heinz Company ESG Score,59,Location: United States of America,Industry: FOA Food Products,Ticker: KHC,67,52,57
"Agilent Technologies, Inc. ESG Score",61,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: A,61,61,61
Exelon Corporation ESG Score,58,Location: United States of America,Industry: ELC Electric Utilities,Ticker: EXC,69,45,55
Vulcan Materials Company ESG Score,37,Location: United States of America,Industry: COM Construction Materials,Ticker: VMC,37,35,41
Arch Capital Group Ltd. ESG Score,34,Location: Bermuda,Industry: INS Insurance,Ticker: ACGL,27,26,43
Sysco Corporation ESG Score,39,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: SYY,42,37,38
"Yum! Brands, Inc. ESG Score",54,Location: United States of America,Industry: REX Restaurants & Leisure Facilities,Ticker: YUM,57,48,58
"Martin Marietta Materials, Inc. ESG Score",33,Location: United States of America,Industry: COM Construction Materials,Ticker: MLM,34,24,41
The Hershey Company ESG Score,60,Location: United States of America,Industry: FOA Food Products,Ticker: HSY,52,69,62
ResMed Inc. ESG Score,49,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: RMD,38,50,54
Microchip Technology Incorporated ESG Score,40,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: MCHP,43,35,41
Nucor Corporation ESG Score,40,Location: United States of America,Industry: STL Steel,Ticker: NUE,45,32,41
Extra Space Storage Inc. ESG Score,49,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: EXR,55,48,43
HP Inc. ESG Score,77,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: HPQ,78,80,72
Las Vegas Sands Corp. ESG Score,67,Location: United States of America,Industry: CNO Casinos & Gaming,Ticker: LVS,85,62,64
"General Mills, Inc. ESG Score",61,Location: United States of America,Industry: FOA Food Products,Ticker: GIS,68,60,55
M&T Bank Corporation ESG Score,43,Location: United States of America,Industry: BNK Banks,Ticker: MTB,20,38,54
"IDEXX Laboratories, Inc. ESG Score",38,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: IDXX,35,35,44
"DuPont de Nemours, Inc. ESG Score",32,Location: United States of America,Industry: CHM Chemicals,Ticker: DD,29,38,29
Westinghouse Air Brake Technologies Corporation ESG Score,40,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: WAB,40,33,45
"The Hartford Financial Services Group, Inc. ESG Score",46,Location: United States of America,Industry: INS Insurance,Ticker: HIG,45,34,55
Humana Inc. ESG Score,60,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: HUM,60,63,57
"Consolidated Edison, Inc. ESG Score",42,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: ED,44,34,46
Iron Mountain Incorporated ESG Score,54,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: IRM,58,46,57
Equifax Inc. ESG Score,40,Location: United States of America,Industry: PRO Professional Services,Ticker: EFX,35,36,46
Carnival Corporation & plc ESG Score,40,Location: United States of America,"Industry: TRT Hotels, Resorts & Cruise Lines",Ticker: CCL,33,41,46
"Raymond James Financial, Inc. ESG Score",36,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: RJF,21,33,42
VICI Properties Inc. ESG Score,37,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: VICI,41,21,48
"AvalonBay Communities, Inc. ESG Score",46,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: AVB,54,38,46
"Brown & Brown, Inc. ESG Score",26,Location: United States of America,Industry: INS Insurance,Ticker: BRO,5,22,37
Edison International ESG Score,37,Location: United States of America,Industry: ELC Electric Utilities,Ticker: EIX,33,33,47
Entergy Corporation ESG Score,49,Location: United States of America,Industry: ELC Electric Utilities,Ticker: ETR,49,41,58
Willis Towers Watson Public Limited Company ESG Score,40,Location: United Kingdom of Great Britain and Northern Ireland,Industry: INS Insurance,Ticker: WTW,41,33,44
"Take-Two Interactive Software, Inc. ESG Score",36,Location: United States of America,"Industry: IMS Interactive Media, Services & Home Entertainment",Ticker: TTWO,43,26,41
Fifth Third Bancorp ESG Score,53,Location: United States of America,Industry: BNK Banks,Ticker: FITB,53,49,55
Dow Inc. ESG Score,78,Location: United States of America,Industry: CHM Chemicals,Ticker: DOW,83,78,72
"Rockwell Automation, Inc. ESG Score",40,Location: United States of America,Industry: ELQ Electrical Components & Equipment,Ticker: ROK,41,40,40
"Monolithic Power Systems, Inc. ESG Score",35,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: MPWR,34,34,36
"WEC Energy Group, Inc. ESG Score",48,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: WEC,47,44,51
"CoStar Group, Inc. ESG Score",31,Location: United States of America,Industry: REM Real Estate Management & Development,Ticker: CSGP,27,26,42
Xylem Inc. ESG Score,50,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: XYL,45,51,55
"ANSYS, Inc. ESG Score",45,Location: United States of America,Industry: SOF Software,Ticker: ANSS,48,36,51
"Live Nation Entertainment, Inc. ESG Score",18,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: LYV,10,15,27
ON Semiconductor Corporation ESG Score,57,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: ON,51,56,64
"Cardinal Health, Inc. ESG Score",52,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: CAH,71,50,50
Tractor Supply Company ESG Score,38,Location: United States of America,Industry: RTS Retailing,Ticker: TSCO,39,29,46
Global Payments Inc. ESG Score,35,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: GPN,30,29,40
Centene Corporation ESG Score,61,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: CNC,48,63,63
eBay Inc. ESG Score,56,Location: United States of America,Industry: RTS Retailing,Ticker: EBAY,80,42,50
"United Airlines Holdings, Inc. ESG Score",38,Location: United States of America,Industry: AIR Airlines,Ticker: UAL,42,34,39
"DexCom, Inc. ESG Score",43,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: DXCM,31,44,47
Equity Residential ESG Score,70,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: EQR,78,60,72
"PPG Industries, Inc. ESG Score",47,Location: United States of America,Industry: CHM Chemicals,Ticker: PPG,55,35,51
Hewlett Packard Enterprise Company ESG Score,68,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: HPE,69,67,68
"Keysight Technologies, Inc. ESG Score",49,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: KEYS,43,49,57
Kellanova ESG Score,56,Location: United States of America,Industry: FOA Food Products,Ticker: K,59,63,46
"NVR, Inc. ESG Score",22,Location: United States of America,Industry: HOM Homebuilding,Ticker: NVR,19,14,33
State Street Corporation ESG Score,52,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: STT,53,45,55
Dover Corporation ESG Score,39,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: DOV,42,32,41
LyondellBasell Industries N.V. ESG Score,60,Location: United States of America,Industry: CHM Chemicals,Ticker: LYB,63,48,71
"Ventas, Inc. ESG Score",47,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: VTR,48,42,52
Deckers Outdoor Corporation ESG Score,41,Location: United States of America,"Industry: TEX Textiles, Apparel & Luxury Goods",Ticker: DECK,42,34,49
"Leidos Holdings, Inc. ESG Score",43,Location: United States of America,Industry: PRO Professional Services,Ticker: LDOS,50,36,49
Mettler-Toledo International Inc. ESG Score,55,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: MTD,68,48,56
Halliburton Company ESG Score,60,Location: United States of America,Industry: OIE Energy Equipment & Services,Ticker: HAL,51,65,66
"Broadridge Financial Solutions, Inc. ESG Score",48,Location: United States of America,Industry: PRO Professional Services,Ticker: BR,48,40,57
"Tyler Technologies, Inc. ESG Score",45,Location: United States of America,Industry: SOF Software,Ticker: TYL,38,45,50
"Church & Dwight Co., Inc. ESG Score",42,Location: United States of America,Industry: HOU Household Products,Ticker: CHD,47,38,43
"PulteGroup, Inc. ESG Score",38,Location: United States of America,Industry: HOM Homebuilding,Ticker: PHM,41,27,44
Smurfit Westrock Plc ESG Score,53,Location: Ireland,Industry: CTR Containers & Packaging,Ticker: SW,61,45,54
GoDaddy Inc. ESG Score,43,Location: United States of America,Industry: TSV IT services,Ticker: GDDY,36,38,52
"T. Rowe Price Group, Inc. ESG Score",42,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: TROW,47,36,45
EQT Corporation ESG Score,44,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: EQT,49,30,50
"Corpay, Inc. ESG Score",26,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: CPAY,12,16,37
