SnP_ESG_Company,SnP_ESG_Score,SnP_ESG_Country,SnP_ESG_Industry,SnP_ESG_Ticker,ESG_environment,ESG_social,ESG_governance
NVIDIA Corporation ESG Score,61,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: NVDA,57,64,64
Apple Inc. ESG Score,45,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: AAPL,54,44,37
Microsoft Corporation ESG Score,56,Location: United States of America,Industry: SOF Software,Ticker: MSFT,73,44,58
Alphabet Inc. ESG Score,47,Location: United States of America,"Industry: IMS Interactive Media, Services & Home Entertainment",Ticker: GOOGL,66,51,31
"Amazon.com, Inc. ESG Score",24,Location: United States of America,Industry: RTS Retailing,Ticker: AMZN,34,17,23
"Meta Platforms, Inc. ESG Score",30,Location: United States of America,"Industry: IMS Interactive Media, Services & Home Entertainment",Ticker: META,58,18,28
"Tesla, Inc. ESG Score",37,Location: United States of America,Industry: AUT Automobiles,Ticker: TSLA,52,23,36
Berkshire Hathaway Inc. ESG Score,15,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: BRK.A,8,14,17
Broadcom Inc. ESG Score,36,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: AVGO,32,40,38
Eli Lilly and Company ESG Score,39,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: LLY,56,33,37
Walmart Inc. ESG Score,52,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: WMT,67,36,53
JPMorgan Chase & Co. ESG Score,35,Location: United States of America,Industry: BNK Banks,Ticker: JPM,39,36,33
Visa Inc. ESG Score,57,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: V,85,64,43
UnitedHealth Group Incorporated ESG Score,51,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: UNH,58,61,38
Exxon Mobil Corporation ESG Score,38,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: XOM,33,34,47
Oracle Corporation ESG Score,41,Location: United States of America,Industry: SOF Software,Ticker: ORCL,59,33,38
Mastercard Incorporated ESG Score,57,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: MA,84,47,54
Costco Wholesale Corporation ESG Score,41,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: COST,54,34,35
"The Home Depot, Inc. ESG Score",38,Location: United States of America,Industry: RTS Retailing,Ticker: HD,40,28,46
The Procter & Gamble Company ESG Score,37,Location: United States of America,Industry: HOU Household Products,Ticker: PG,51,26,37
Johnson & Johnson ESG Score,24,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: JNJ,49,23,16
Bank of America Corporation ESG Score,52,Location: United States of America,Industry: BNK Banks,Ticker: BAC,56,53,50
"Netflix, Inc. ESG Score",28,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: NFLX,36,23,32
"Salesforce, Inc. ESG Score",61,Location: United States of America,Industry: SOF Software,Ticker: CRM,71,49,68
AbbVie Inc. ESG Score,69,Location: United States of America,Industry: BTC Biotechnology,Ticker: ABBV,63,74,65
"T-Mobile US, Inc. ESG Score",49,Location: United States of America,Industry: TLS Telecommunication Services,Ticker: TMUS,64,43,47
Chevron Corporation ESG Score,41,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: CVX,41,51,34
The Coca-Cola Company ESG Score,48,Location: United States of America,Industry: BVG Beverages,Ticker: KO,56,44,42
"Merck & Co., Inc. ESG Score",52,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: MRK,54,54,49
Wells Fargo & Company ESG Score,38,Location: United States of America,Industry: BNK Banks,Ticker: WFC,45,38,36
"Cisco Systems, Inc. ESG Score",67,Location: United States of America,Industry: CMT Communications Equipment,Ticker: CSCO,73,66,62
"Advanced Micro Devices, Inc. ESG Score",50,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: AMD,44,50,56
Adobe Inc. ESG Score,57,Location: United States of America,Industry: SOF Software,Ticker: ADBE,66,45,63
"PepsiCo, Inc. ESG Score",47,Location: United States of America,Industry: BVG Beverages,Ticker: PEP,53,46,41
Accenture plc ESG Score,54,Location: Ireland,Industry: TSV IT services,Ticker: ACN,68,44,55
Blackstone Inc. ESG Score,27,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: BX,22,23,32
Linde plc ESG Score,79,Location: United Kingdom of Great Britain and Northern Ireland,Industry: CHM Chemicals,Ticker: LIN,87,75,72
"ServiceNow, Inc. ESG Score",57,Location: United States of America,Industry: SOF Software,Ticker: NOW,59,52,61
McDonald's Corporation ESG Score,30,Location: United States of America,Industry: REX Restaurants & Leisure Facilities,Ticker: MCD,45,19,33
Morgan Stanley ESG Score,37,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: MS,50,38,33
Thermo Fisher Scientific Inc. ESG Score,50,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: TMO,60,44,51
American Express Company ESG Score,44,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: AXP,44,38,47
Abbott Laboratories ESG Score,64,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: ABT,66,66,60
Intuit Inc. ESG Score,46,Location: United States of America,Industry: SOF Software,Ticker: INTU,52,32,57
International Business Machines Corporation ESG Score,60,Location: United States of America,Industry: TSV IT services,Ticker: IBM,76,49,60
Texas Instruments Incorporated ESG Score,43,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: TXN,38,47,45
Philip Morris International Inc. ESG Score,74,Location: United States of America,Industry: TOB Tobacco,Ticker: PM,91,73,60
"Intuitive Surgical, Inc. ESG Score",33,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: ISRG,27,27,42
Caterpillar Inc. ESG Score,41,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: CAT,39,43,40
"The Goldman Sachs Group, Inc. ESG Score",39,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: GS,41,31,45
The Walt Disney Company ESG Score,43,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: DIS,51,36,48
QUALCOMM Incorporated ESG Score,62,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: QCOM,60,58,65
Danaher Corporation ESG Score,53,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: DHR,45,54,55
Verizon Communications Inc. ESG Score,36,Location: United States of America,Industry: TLS Telecommunication Services,Ticker: VZ,37,31,42
Comcast Corporation ESG Score,32,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: CMCSA,39,26,36
Booking Holdings Inc. ESG Score,33,Location: United States of America,"Industry: TRT Hotels, Resorts & Cruise Lines",Ticker: BKNG,30,30,37
RTX Corporation ESG Score,29,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: RTX,29,42,18
Amgen Inc. ESG Score,42,Location: United States of America,Industry: BTC Biotechnology,Ticker: AMGN,48,39,44
AT&T Inc. ESG Score,59,Location: United States of America,Industry: TLS Telecommunication Services,Ticker: T,61,59,58
S&P Global Inc. ESG Score,73,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: SPGI,99,58,76
"Applied Materials, Inc. ESG Score",48,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: AMAT,46,42,54
The Progressive Corporation ESG Score,29,Location: United States of America,Industry: INS Insurance,Ticker: PGR,22,16,39
"BlackRock, Inc. ESG Score",49,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: BLK,43,42,57
"Lowe's Companies, Inc. ESG Score",47,Location: United States of America,Industry: RTS Retailing,Ticker: LOW,49,38,55
"NextEra Energy, Inc. ESG Score",36,Location: United States of America,Industry: ELC Electric Utilities,Ticker: NEE,42,27,39
Honeywell International Inc. ESG Score,44,Location: United States of America,Industry: IDD Industrial Conglomerates,Ticker: HON,42,50,41
"Uber Technologies, Inc. ESG Score",40,Location: United States of America,Industry: TRA Transportation and Transportation Infrastructure,Ticker: UBER,55,29,42
Pfizer Inc. ESG Score,48,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: PFE,52,44,49
Stryker Corporation ESG Score,45,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: SYK,39,43,50
Eaton Corporation plc ESG Score,48,Location: Ireland,Industry: ELQ Electrical Components & Equipment,Ticker: ETN,51,44,49
Union Pacific Corporation ESG Score,63,Location: United States of America,Industry: TRA Transportation and Transportation Infrastructure,Ticker: UNP,62,60,70
The Charles Schwab Corporation ESG Score,34,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: SCHW,19,29,43
KKR & Co. Inc. ESG Score,26,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: KKR,21,24,29
Palantir Technologies Inc. ESG Score,23,Location: United States of America,Industry: SOF Software,Ticker: PLTR,28,16,27
"The TJX Companies, Inc. ESG Score",36,Location: United States of America,Industry: RTS Retailing,Ticker: TJX,43,29,38
Lockheed Martin Corporation ESG Score,61,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: LMT,55,65,63
Boston Scientific Corporation ESG Score,55,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: BSX,51,57,55
Citigroup Inc. ESG Score,39,Location: United States of America,Industry: BNK Banks,Ticker: C,42,37,40
"Palo Alto Networks, Inc. ESG Score",49,Location: United States of America,Industry: SOF Software,Ticker: PANW,63,35,52
ConocoPhillips ESG Score,56,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: COP,54,61,55
Vertex Pharmaceuticals Incorporated ESG Score,39,Location: United States of America,Industry: BTC Biotechnology,Ticker: VRTX,37,35,43
"Automatic Data Processing, Inc. ESG Score",40,Location: United States of America,Industry: PRO Professional Services,Ticker: ADP,46,31,49
"Fiserv, Inc. ESG Score",41,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: FI,35,33,48
Bristol-Myers Squibb Company ESG Score,48,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: BMY,46,41,56
"Gilead Sciences, Inc. ESG Score",63,Location: United States of America,Industry: BTC Biotechnology,Ticker: GILD,64,68,58
"Micron Technology, Inc. ESG Score",56,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: MU,46,61,63
"NIKE, Inc. ESG Score",44,Location: United States of America,"Industry: TEX Textiles, Apparel & Luxury Goods",Ticker: NKE,51,37,44
Chubb Limited ESG Score,34,Location: Swiss Confederation,Industry: INS Insurance,Ticker: CB,40,21,41
Medtronic plc ESG Score,68,Location: Ireland,Industry: MTC Health Care Equipment & Supplies,Ticker: MDT,62,76,61
Starbucks Corporation ESG Score,35,Location: United States of America,Industry: REX Restaurants & Leisure Facilities,Ticker: SBUX,51,30,28
"United Parcel Service, Inc. ESG Score",33,Location: United States of America,Industry: TRA Transportation and Transportation Infrastructure,Ticker: UPS,32,29,40
"Marsh & McLennan Companies, Inc. ESG Score",34,Location: United States of America,Industry: INS Insurance,Ticker: MMC,27,33,37
"Analog Devices, Inc. ESG Score",44,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: ADI,55,38,40
The Boeing Company ESG Score,40,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: BA,57,53,14
Deere & Company ESG Score,49,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: DE,42,45,60
"Prologis, Inc. ESG Score",67,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: PLD,81,60,56
Intel Corporation ESG Score,60,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: INTC,61,59,60
Lam Research Corporation ESG Score,58,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: LRCX,58,47,65
The Sherwin-Williams Company ESG Score,45,Location: United States of America,Industry: CHM Chemicals,Ticker: SHW,48,40,49
The Southern Company ESG Score,45,Location: United States of America,Industry: ELC Electric Utilities,Ticker: SO,47,32,57
Dell Technologies Inc. ESG Score,46,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: DELL,51,37,48
"Elevance Health, Inc. ESG Score",67,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: ELV,65,64,70
The Cigna Group ESG Score,54,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: CI,67,52,51
Trane Technologies plc ESG Score,72,Location: Ireland,Industry: BLD Building Products,Ticker: TT,78,73,65
"Altria Group, Inc. ESG Score",43,Location: United States of America,Industry: TOB Tobacco,Ticker: MO,48,38,43
Cintas Corporation ESG Score,39,Location: United States of America,Industry: ICS Commercial Services & Supplies,Ticker: CTAS,32,41,43
American Tower Corporation ESG Score,45,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: AMT,49,39,46
"Regeneron Pharmaceuticals, Inc. ESG Score",63,Location: United States of America,Industry: BTC Biotechnology,Ticker: REGN,50,70,60
"Waste Management, Inc. ESG Score",60,Location: United States of America,Industry: ICS Commercial Services & Supplies,Ticker: WM,69,53,59
Parker-Hannifin Corporation ESG Score,36,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: PH,37,29,39
"Intercontinental Exchange, Inc. ESG Score",42,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: ICE,56,32,44
"Mondelez International, Inc. ESG Score",63,Location: United States of America,Industry: FOA Food Products,Ticker: MDLZ,69,62,54
KLA Corporation ESG Score,57,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: KLAC,59,51,60
"Equinix, Inc. ESG Score",60,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: EQIX,70,46,62
Amphenol Corporation ESG Score,42,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: APH,47,29,49
"PayPal Holdings, Inc. ESG Score",61,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: PYPL,79,48,63
Duke Energy Corporation ESG Score,59,Location: United States of America,Industry: ELC Electric Utilities,Ticker: DUK,61,53,62
Moody's Corporation ESG Score,70,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: MCO,98,62,67
General Dynamics Corporation ESG Score,34,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: GD,33,37,34
"Synopsys, Inc. ESG Score",43,Location: United States of America,Industry: SOF Software,Ticker: SNPS,46,32,51
Welltower Inc. ESG Score,58,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: WELL,72,47,54
"CrowdStrike Holdings, Inc. ESG Score",22,Location: United States of America,Industry: SOF Software,Ticker: CRWD,13,16,33
"The PNC Financial Services Group, Inc. ESG Score",36,Location: United States of America,Industry: BNK Banks,Ticker: PNC,37,31,40
"Airbnb, Inc. ESG Score",23,Location: United States of America,"Industry: TRT Hotels, Resorts & Cruise Lines",Ticker: ABNB,21,20,27
"Motorola Solutions, Inc. ESG Score",42,Location: United States of America,Industry: CMT Communications Equipment,Ticker: MSI,36,38,53
Aon plc ESG Score,41,Location: Ireland,Industry: INS Insurance,Ticker: AON,48,40,40
