MSCI_Company,MSCI_ESG_Rating,MSCI_Environment_Flag,MSCI_Social_Flag,MSCI_Governance_Flag,MSCI_Customer_Flag,MSCI_Human_Rights_Flag,MSCI_Labor_Rights_Flag
"Expeditors International of Washington, Inc.",AAA,Green,Green,Green,Green,Green,Green
Dollar General Corporation,A,Green,Yellow,Green,Green,Green,Yellow
"Align Technology, Inc.",A,Green,Green,Green,Green,Green,Green
Avery Dennison Corporation,AA,Green,Green,Green,Green,Green,Green
Textron Inc.,A,Green,Yellow,Green,Yellow,Green,Green
"Everest Group, Ltd.",A,Green,Green,Green,Green,Green,Green
Incyte Corporation,AA,Green,Green,Green,Green,Green,Green
Viatris Inc.,BBB,Green,Orange,Green,Orange,Green,Green
Alliant Energy Corporation,AA,Green,Green,Green,Green,Green,Green
"Healthpeak Properties, Inc.",AA,Green,Green,Green,Green,Green,Green
"Domino's Pizza, Inc.",BBB,Green,Green,Green,Green,Green,Green
Jabil Inc.,A,Green,Green,Green,Green,Green,Green
Nordson Corporation,BBB,Green,Green,Green,Green,Green,Green
Amcor plc,A,Green,Green,Green,Green,Green,Green
"CF Industries Holdings, Inc.",BBB,Green,Green,Green,Green,Green,Green
"Revvity, Inc.",AA,Green,Green,Green,Green,Green,Green
"Evergy, Inc.",A,Green,Green,Green,Green,Green,Green
"F5, Inc.",AA,Green,Green,Green,Green,Green,Green
"EPAM Systems, Inc.",A,Green,Green,Green,Green,Green,Green
"BXP, Inc.",AA,Green,Green,Green,Green,Green,Green
"Skyworks Solutions, Inc.",A,Green,Green,Green,Green,Green,Green
"Akamai Technologies, Inc.",AA,Green,Green,Green,Green,Green,Green
Pool Corporation,AA,Green,Green,Green,Green,Green,Green
"Universal Health Services, Inc.",CCC,Green,Red,Green,Red,Green,Yellow
"Stanley Black & Decker, Inc.",BBB,Green,Green,Green,Green,Green,Green
Regency Centers Corporation,AA,Green,Green,Green,Green,Green,Green
"Dollar Tree, Inc.",A,Green,Yellow,Green,Yellow,Green,Yellow
Aptiv PLC,AA,Green,Yellow,Green,Green,Green,Yellow
"Conagra Brands, Inc.",AA,Green,Yellow,Green,Yellow,Green,Green
"Paycom Software, Inc.",A,Green,Green,Green,Green,Green,Green
DaVita Inc.,AA,Green,Yellow,Yellow,Yellow,Green,Yellow
"Jack Henry & Associates, Inc.",A,Green,Green,Green,Green,Green,Green
"C.H. Robinson Worldwide, Inc.",AAA,Green,Yellow,Green,Green,Green,Yellow
Camden Property Trust,BB,Green,Yellow,Green,Yellow,Green,Green
"Juniper Networks, Inc.",AA,Green,Green,Green,Green,Green,Green
Molson Coors Beverage Company,AAA,Green,Green,Green,Green,Green,Green
"Host Hotels & Resorts, Inc.",A,Green,Green,Green,Green,Green,Green
"Super Micro Computer, Inc.",B,Green,Green,Green,Green,Green,Green
Dayforce Inc,AA,Green,Green,Green,Green,Green,Green
Solventum Corporation,AA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bunge Global SA,AAA,Yellow,Green,Green,Green,Green,Green
Albemarle Corporation,A,Green,Green,Yellow,Green,Green,Green
The J. M. Smucker Company,A,Green,Green,Green,Green,Green,Green
"CarMax, Inc.",AA,Green,Green,Green,Green,Green,Green
Bio-Techne Corporation,A,Green,Green,Green,Green,Green,Green
"Lamb Weston Holdings, Inc.",AA,Green,Green,Green,Green,Green,Green
"Franklin Resources, Inc.",BBB,Green,Green,Yellow,Green,Green,Green
"Charles River Laboratories International, Inc.",A,Green,Green,Yellow,Green,Green,Green
MGM Resorts International,BBB,Green,Yellow,Green,Green,Green,Yellow
"The Interpublic Group of Companies, Inc.",AA,Green,Green,Green,Green,Green,Green
"Assurant, Inc.",AA,Green,Green,Green,Green,Green,Green
"Catalent, Inc.",A,Green,Green,Green,Green,Green,Green
A. O. Smith Corporation,BBB,Green,Green,Green,Green,Green,Green
MarketAxess Holdings Inc.,AA,Green,Green,Green,Green,Green,Green
LKQ Corporation,AAA,Green,Green,Green,Green,Green,Green
The AES Corporation,AA,Yellow,Orange,Green,Green,Orange,Green
"Wynn Resorts, Limited",BB,Green,Green,Green,Green,Green,Green
Teleflex Incorporated,AA,Green,Green,Green,Green,Green,Green
"Henry Schein, Inc.",A,Green,Green,Green,Green,Green,Green
Celanese Corporation,A,Green,Green,Green,Green,Green,Green
The Mosaic Company,A,Green,Yellow,Green,Green,Green,Yellow
"Enphase Energy, Inc.",AA,Green,Green,Green,Green,Green,Green
APA Corporation,A,Green,Green,Green,Green,Green,Green
"Huntington Ingalls Industries, Inc.",AA,Green,Yellow,Green,Green,Green,Yellow
"Match Group, Inc.",BB,Green,Orange,Green,Orange,Green,Yellow
"Walgreens Boots Alliance, Inc.",A,Green,Yellow,Yellow,Yellow,Green,Green
"Qorvo, Inc.",A,Green,Green,Green,Green,Green,Green
NVIDIA Corporation,AAA,Green,Yellow,Green,Yellow,Green,Green
Apple Inc.,BBB,Green,Orange,Yellow,Yellow,Green,Orange
Microsoft Corporation,AA,Green,Yellow,Yellow,Yellow,Green,Yellow
Alphabet Inc.,BBB,Green,Yellow,Green,Yellow,Yellow,Yellow
"Meta Platforms, Inc.",B,Green,Orange,Yellow,Orange,Yellow,Yellow
"Tesla, Inc.",BBB,Green,Orange,Yellow,Orange,Yellow,Yellow
Berkshire Hathaway Inc.,BB,Green,Orange,Green,Yellow,Orange,Yellow
Broadcom Inc.,A,Green,Yellow,Green,Yellow,Green,Green
Eli Lilly and Company,A,Green,Yellow,Yellow,Yellow,Green,Yellow
Walmart Inc.,BBB,Green,Orange,Orange,Yellow,Green,Orange
JPMorgan Chase & Co.,A,Green,Yellow,Orange,Yellow,Green,Green
Visa Inc.,AA,Green,Yellow,Green,Yellow,Green,Green
UnitedHealth Group Incorporated,A,Green,Orange,Orange,Orange,Green,Orange
Exxon Mobil Corporation,BBB,Orange,Orange,Yellow,Yellow,Orange,Yellow
Oracle Corporation,A,Green,Yellow,Green,Green,Green,Yellow
Mastercard Incorporated,AA,Green,Yellow,Green,Yellow,Green,Green
Costco Wholesale Corporation,A,Green,Orange,Green,Yellow,Green,Orange
"The Home Depot, Inc.",AA,Green,Yellow,Green,Green,Green,Yellow
The Procter & Gamble Company,A,Orange,Yellow,Green,Green,Green,Yellow
Johnson & Johnson,A,Green,Orange,Yellow,Orange,Yellow,Green
Bank of America Corporation,A,Green,Yellow,Orange,Yellow,Green,Yellow
"Netflix, Inc.",BB,Green,Yellow,Yellow,Yellow,Green,Yellow
"Salesforce, Inc.",AA,Green,Yellow,Green,Green,Yellow,Green
AbbVie Inc.,A,Green,Orange,Green,Orange,Green,Green
"T-Mobile US, Inc.",BB,Green,Orange,Green,Orange,Orange,Green
Chevron Corporation,A,Yellow,Yellow,Green,Yellow,Yellow,Yellow
The Coca-Cola Company,AA,Orange,Yellow,Orange,Yellow,Green,Yellow
"Merck & Co., Inc.",A,Green,Yellow,Green,Yellow,Green,Green
Wells Fargo & Company,BB,Green,Orange,Orange,Orange,Green,Orange
"Cisco Systems, Inc.",AA,Green,Yellow,Green,Yellow,Green,Yellow
"Advanced Micro Devices, Inc.",AA,Green,Green,Green,Green,Green,Green
Adobe Inc.,AAA,Green,Yellow,Green,Yellow,Green,Green
"PepsiCo, Inc.",AA,Orange,Yellow,Green,Yellow,Green,Green
Blackstone Inc.,BB,Green,Yellow,Green,Yellow,Green,Yellow
"ServiceNow, Inc.",AAA,Green,Green,Green,Green,Green,Green
McDonald's Corporation,A,Green,Orange,Yellow,Yellow,Green,Orange
Morgan Stanley,AA,Green,Green,Orange,Green,Green,Green
Thermo Fisher Scientific Inc.,BB,Green,Yellow,Green,Yellow,Yellow,Green
American Express Company,AA,Green,Yellow,Green,Yellow,Green,Green
Abbott Laboratories,BB,Green,Orange,Green,Orange,Green,Green
Intuit Inc.,AAA,Green,Green,Green,Green,Green,Green
International Business Machines Corporation,AA,Green,Orange,Green,Green,Green,Orange
Texas Instruments Incorporated,AAA,Green,Green,Green,Green,Green,Green
Philip Morris International Inc.,BBB,Orange,Orange,Green,Orange,Green,Yellow
"Intuitive Surgical, Inc.",A,Green,Orange,Green,Orange,Green,Green
Caterpillar Inc.,AA,Green,Yellow,Green,Green,Green,Yellow
"The Goldman Sachs Group, Inc.",A,Green,Yellow,Orange,Green,Green,Yellow
The Walt Disney Company,A,Green,Orange,Yellow,Yellow,Green,Orange
QUALCOMM Incorporated,A,Green,Green,Green,Green,Green,Green
Danaher Corporation,A,Green,Green,Green,Green,Green,Green
Verizon Communications Inc.,A,Green,Yellow,Green,Yellow,Green,Yellow
Comcast Corporation,BBB,Green,Green,Green,Green,Green,Green
Booking Holdings Inc.,A,Green,Green,Yellow,Green,Green,Green
RTX Corporation,A,Yellow,Orange,Yellow,Green,Orange,Green
Amgen Inc.,A,Green,Yellow,Orange,Yellow,Green,Green
S&P Global Inc.,AA,Green,Green,Green,Green,Green,Green
"Applied Materials, Inc.",AAA,Green,Green,Yellow,Green,Green,Green
The Progressive Corporation,A,Green,Green,Green,Green,Green,Green
"BlackRock, Inc.",A,Green,Yellow,Yellow,Green,Green,Yellow
"Lowe's Companies, Inc.",AA,Green,Yellow,Green,Green,Green,Yellow
"NextEra Energy, Inc.",AA,Yellow,Yellow,Yellow,Yellow,Green,Yellow
"Uber Technologies, Inc.",A,Green,Orange,Orange,Yellow,Green,Orange
Pfizer Inc.,A,Green,Orange,Yellow,Orange,Green,Green
Stryker Corporation,A,Green,Green,Yellow,Green,Green,Green
Union Pacific Corporation,AA,Green,Yellow,Green,Yellow,Green,Green
The Charles Schwab Corporation,BBB,Green,Green,Green,Green,Green,Green
KKR & Co. Inc.,BBB,Green,Orange,Green,Green,Orange,Green
Palantir Technologies Inc.,B,Green,Yellow,Green,Green,Yellow,Green
"The TJX Companies, Inc.",A,Green,Yellow,Green,Yellow,Green,Green
Lockheed Martin Corporation,AA,Green,Yellow,Green,Yellow,Yellow,Green
Boston Scientific Corporation,BB,Green,Yellow,Green,Yellow,Green,Green
Citigroup Inc.,A,Green,Yellow,Orange,Green,Green,Yellow
"Palo Alto Networks, Inc.",AA,Green,Green,Green,Green,Green,Green
ConocoPhillips,AA,Yellow,Orange,Green,Green,Orange,Green
Vertex Pharmaceuticals Incorporated,AA,Green,Yellow,Green,Yellow,Green,Green
"Automatic Data Processing, Inc.",AAA,Green,Green,Green,Green,Green,Green
