LSEG_ESG_Company,LSEG_ESG_Score,LSEG_Environment,LSEG_Social,LSEG_Governance
"F5, Inc.",N/A,N/A,N/A,N/A
"EPAM Systems, Inc.",N/A,N/A,N/A,N/A
"BXP, Inc.",N/A,N/A,N/A,N/A
"Skyworks Solutions, Inc.",N/A,N/A,N/A,N/A
"Akamai Technologies, Inc.",N/A,N/A,N/A,N/A
Pool Corporation,N/A,N/A,N/A,N/A
"Universal Health Services, Inc.",N/A,N/A,N/A,N/A
"Stanley Black & Decker, Inc.",N/A,N/A,N/A,N/A
Regency Centers Corporation,N/A,N/A,N/A,N/A
"Dollar Tree, Inc.",N/A,N/A,N/A,N/A
Aptiv PLC,N/A,N/A,N/A,N/A
"Conagra Brands, Inc.",N/A,N/A,N/A,N/A
"Paycom Software, Inc.",N/A,N/A,N/A,N/A
Campbell Soup Company,N/A,N/A,N/A,N/A
Ralph Lauren Corporation,N/A,N/A,N/A,N/A
DaVita Inc.,N/A,N/A,N/A,N/A
"Jack Henry & Associates, Inc.",N/A,N/A,N/A,N/A
"C.H. Robinson Worldwide, Inc.",N/A,N/A,N/A,N/A
Camden Property Trust,N/A,N/A,N/A,N/A
"Juniper Networks, Inc.",N/A,N/A,N/A,N/A
Molson Coors Beverage Company,N/A,N/A,N/A,N/A
"Host Hotels & Resorts, Inc.",N/A,N/A,N/A,N/A
"Super Micro Computer, Inc.",N/A,N/A,N/A,N/A
Dayforce Inc,N/A,N/A,N/A,N/A
Allegion plc,N/A,N/A,N/A,N/A
Norwegian Cruise Line Holdings Ltd.,N/A,N/A,N/A,N/A
Solventum Corporation,N/A,N/A,N/A,N/A
Bunge Global SA,N/A,N/A,N/A,N/A
Albemarle Corporation,N/A,N/A,N/A,N/A
"Tapestry, Inc.",N/A,N/A,N/A,N/A
The J. M. Smucker Company,N/A,N/A,N/A,N/A
"CarMax, Inc.",N/A,N/A,N/A,N/A
Bio-Techne Corporation,N/A,N/A,N/A,N/A
Eastman Chemical Company,N/A,N/A,N/A,N/A
"Lamb Weston Holdings, Inc.",N/A,N/A,N/A,N/A
Generac Holdings Inc.,N/A,N/A,N/A,N/A
"Franklin Resources, Inc.",N/A,N/A,N/A,N/A
"Charles River Laboratories International, Inc.",N/A,N/A,N/A,N/A
MGM Resorts International,N/A,N/A,N/A,N/A
"The Interpublic Group of Companies, Inc.",N/A,N/A,N/A,N/A
"Assurant, Inc.",N/A,N/A,N/A,N/A
"Catalent, Inc.",N/A,N/A,N/A,N/A
A. O. Smith Corporation,N/A,N/A,N/A,N/A
Pinnacle West Capital Corporation,N/A,N/A,N/A,N/A
MarketAxess Holdings Inc.,N/A,N/A,N/A,N/A
LKQ Corporation,N/A,N/A,N/A,N/A
Federal Realty Investment Trust,N/A,N/A,N/A,N/A
The AES Corporation,N/A,N/A,N/A,N/A
"Wynn Resorts, Limited",N/A,N/A,N/A,N/A
Globe Life Inc.,N/A,N/A,N/A,N/A
Teleflex Incorporated,N/A,N/A,N/A,N/A
"Mohawk Industries, Inc.",N/A,N/A,N/A,N/A
"Hasbro, Inc.",N/A,N/A,N/A,N/A
"Henry Schein, Inc.",N/A,N/A,N/A,N/A
"Caesars Entertainment, Inc.",N/A,N/A,N/A,N/A
Celanese Corporation,N/A,N/A,N/A,N/A
The Mosaic Company,N/A,N/A,N/A,N/A
"Enphase Energy, Inc.",N/A,N/A,N/A,N/A
APA Corporation,N/A,N/A,N/A,N/A
Paramount Global,N/A,N/A,N/A,N/A
"Huntington Ingalls Industries, Inc.",N/A,N/A,N/A,N/A
Invesco Ltd.,N/A,N/A,N/A,N/A
"Match Group, Inc.",N/A,N/A,N/A,N/A
"Walgreens Boots Alliance, Inc.",N/A,N/A,N/A,N/A
BorgWarner Inc.,N/A,N/A,N/A,N/A
"Amentum Holdings, Inc.",N/A,N/A,N/A,N/A
FMC Corporation,N/A,N/A,N/A,N/A
"Qorvo, Inc.",N/A,N/A,N/A,N/A
NVIDIA Corporation,75,67,72,88
Apple Inc.,78,68,75,91
Microsoft Corporation,91,78,94,92
Alphabet Inc.,81,77,87,78
"Amazon.com, Inc.",N/A,N/A,N/A,N/A
"Meta Platforms, Inc.",67,74,62,70
"Tesla, Inc.",73,82,79,48
Berkshire Hathaway Inc.,25,33,23,19
Broadcom Inc.,77,81,78,69
Eli Lilly and Company,66,79,84,29
